name,status,archived,created_at,scheduled_at,updated_at,send_time
Reminder - Week's Exclusive Offer,Sent,False,2025-02-19T07:51:50.738470+00:00,2025-02-20T08:25:48.263812+00:00,2025-02-23T16:29:57.521788+00:00,2025-02-23T16:30:00+00:00
[Follow-up] Extra -15% Off in our LMTD Collection,Sent,False,2025-02-17T08:00:38.607865+00:00,2025-02-17T08:00:40.655561+00:00,2025-02-19T07:44:47.837349+00:00,2025-02-19T07:45:00+00:00
Extra -15% Off in our LMTD Collection,Sent,False,2025-02-10T14:16:26.685743+00:00,2025-02-10T14:16:55.819733+00:00,2025-02-17T08:14:47.015122+00:00,2025-02-17T08:15:00+00:00
Extra -15% Off in our LMTD Collection,Sent,False,2025-02-10T14:14:45.916797+00:00,2025-02-10T14:17:52.925419+00:00,2025-02-17T07:44:52.182833+00:00,2025-02-17T07:45:00+00:00
[Follow-up] The Perfect Shoes for Your Valentine's Look! Romantic or Casual?,Sent,False,2025-02-12T12:30:46.585767+00:00,2025-02-12T12:30:48.284464+00:00,2025-02-14T12:30:02.214124+00:00,2025-02-14T12:30:00+00:00
ALERT! Last Chance for Winter Sale – Deal ends February 28th,Queued without Recipients,False,2025-02-13T11:24:50.975900+00:00,2025-02-13T11:25:14.071781+00:00,2025-02-13T11:25:14.709378+00:00,2025-02-28T07:00:00+00:00
ALERT! Last Chance for Winter Sale – Deal ends February 28th,Queued without Recipients,False,2025-02-13T11:16:24.230449+00:00,2025-02-13T11:24:24.739873+00:00,2025-02-13T11:24:25.306068+00:00,2025-02-28T07:00:00+00:00
The Perfect Shoes for Your Valentine's Look! Romantic or Casual?,Sent,False,2025-02-12T07:33:14.078881+00:00,2025-02-12T07:41:02.004558+00:00,2025-02-12T12:29:56.263940+00:00,2025-02-12T12:30:00+00:00
Winter Sale is still here.,Sent,False,2025-02-04T09:31:52.699431+00:00,2025-02-04T09:43:28.517955+00:00,2025-02-05T02:14:51.905946+00:00,2025-02-04T18:15:00+00:00
Winter Sale is still here.,Sent,False,2025-02-04T09:43:47.771259+00:00,2025-02-04T09:44:08.887189+00:00,2025-02-04T16:14:46.756151+00:00,2025-02-04T16:15:00+00:00
Limited-Time Extra 10_ Off,Sent,False,2025-01-21T09:42:36.004306+00:00,2025-01-21T09:44:03.561594+00:00,2025-01-28T08:14:51.202649+00:00,2025-01-28T08:15:00+00:00
Limited-Time Extra 10_ Off,Sent,False,2025-01-15T11:42:52.751942+00:00,2025-01-21T09:42:20.910247+00:00,2025-01-28T08:14:49.586442+00:00,2025-01-28T08:15:00+00:00
Style Quiz: Find Your Perfect Shoe ON SALE!,Sent,False,2025-01-15T11:04:28.214510+00:00,2025-01-21T09:32:13.292321+00:00,2025-01-23T15:44:52.591593+00:00,2025-01-23T15:45:00+00:00
